run_id,account,session,base_model,method,r,alpha,lr,seq,batch,accum,steps,dev_chrf,dev_bleu,status,git_sha,data_hash,gpu,wall_hours,adapter_link,notes
sessionC_ablation,,sessionC_ablation,bodhan-ai/indic-translate,qlora,16,32,5e-05,128,1,16,20,,,completed,,,Tesla T4,0.281,your-hf-user/indic-translate-mr-education-lora,config=configs/sessionC_ablation.yaml
eval-bodhan-20260924-132407,,eval,bodhan-ai/indic-translate,eval-bodhan,,,,,,,,0.7072230125461821,0.2657024300793133,done,,,,,/kaggle/working/sessionC/adapter,"split_arg=test benchmarks=in22_gen,flores_devtest"
